0,1
ABBV,SBUX
ABBV,SEE
ABBV,SHW
ABBV,SJM
ABBV,SNA
ABBV,SO
ABBV,SPGI
ABBV,SRE
ABBV,STE
ABBV,STZ
ABBV,SYK
ABBV,TDY
ABBV,TECH
ABBV,TEL
ABBV,TGT
ABBV,TJX
ABBV,TMO
ABBV,TMUS
ABBV,TRV
ABBV,TT
ABBV,TXN
ABBV,UNH
ABBV,UNP
ABBV,UPS
ABBV,V
ABBV,VMC
ABBV,VRSK
ABBV,VRSN
ABBV,VRTX
ABBV,WAB
ABBV,WAT
ABBV,WEC
ABBV,WM
ABBV,WMT
ABBV,WRB
ABBV,WST
ABBV,WTW
ABBV,XEL
ABBV,XYL
ABBV,YUM
ABBV,ZTS
ABC,ABT
ABC,ACGL
ABC,ACN
ABC,ADI
ABC,ADM
ABC,ADP
ABC,AEE
ABC,AEP
ABC,AFL
ABC,AJG
ABC,ALL
ABC,AMCR
ABC,AME
ABC,AMGN
ABC,AON
ABC,AOS
ABC,APD
ABC,APH
ABC,ATO
ABC,ATVI
ABC,AVY
ABC,AWK
ABC,AZO
ABC,BDX
ABC,BF-B
ABC,BIO
ABC,BLK
ABC,BMY
ABC,BR
ABC,BRK-B
ABC,BRO
ABC,BSX
ABC,CAG
ABC,CAH
ABC,CAT
ABC,CB
ABC,CBOE
ABC,CCI
ABC,CDW
ABC,CHD
ABC,CHRW
ABC,CI
ABC,CL
ABC,CLX
ABC,CMI
ABC,CMS
ABC,CNC
ABC,CNP
ABC,COO
ABC,COST
ABC,CPB
ABC,CPRT
ABC,CPT
ABC,CSCO
ABC,CSGP
ABC,CSX
ABC,CTAS
ABC,CVS
ABC,DD
ABC,DG
ABC,DGX
ABC,DHR
ABC,DOV
ABC,DPZ
ABC,DTE
ABC,DUK
ABC,EA
ABC,EBAY
ABC,ED
ABC,EFX
ABC,EL
ABC,EMN
ABC,EMR
ABC,EQIX
ABC,ES
ABC,ETN
ABC,ETR
ABC,EVRG
ABC,EXC
ABC,EXPD
ABC,EXR
ABC,FAST
ABC,FDS
ABC,FDX
ABC,FMC
ABC,GD
ABC,GEN
ABC,GILD
ABC,GIS
ABC,GL
ABC,GLW
ABC,GOOG
ABC,GOOGL
ABC,GPC
ABC,GRMN
ABC,GS
ABC,GWW
ABC,HD
ABC,HOLX
ABC,HON
ABC,HRL
ABC,HSIC
ABC,HSY
ABC,HUM
ABC,IBM
ABC,ICE
ABC,IDXX
ABC,IEX
ABC,INVH
ABC,IQV
ABC,IR
ABC,ISRG
ABC,ITW
ABC,J
ABC,JBHT
ABC,JCI
ABC,JKHY
ABC,JNJ
ABC,JNPR
ABC,K
ABC,KDP
ABC,KEYS
ABC,KHC
ABC,KMB
ABC,KO
ABC,KR
ABC,LDOS
ABC,LH
ABC,LHX
ABC,LIN
ABC,LMT
ABC,LNT
ABC,MA
ABC,MAA
ABC,MCD
ABC,MCO
ABC,MDLZ
ABC,MKC
ABC,MLM
ABC,MMC
ABC,MNST
ABC,MO
ABC,MRK
ABC,MSFT
ABC,MSI
ABC,MTD
ABC,NDAQ
ABC,NDSN
ABC,NEE
ABC,NEM
ABC,NI
ABC,NKE
ABC,NOC
ABC,NSC
ABC,NWS
ABC,NWSA
ABC,OMC
ABC,ORCL
ABC,ORLY
ABC,PAYX
ABC,PCAR
ABC,PEG
ABC,PEP
ABC,PFE
ABC,PG
ABC,PGR
ABC,PKG
ABC,PKI
ABC,PLD
ABC,PM
ABC,POOL
ABC,PSA
ABC,RE
ABC,REGN
ABC,RHI
ABC,RMD
ABC,ROK
ABC,ROL
ABC,ROP
ABC,RSG
ABC,SBAC
ABC,SBUX
ABC,SEE
ABC,SHW
ABC,SJM
ABC,SNA
ABC,SO
ABC,SPGI
ABC,SRE
ABC,STE
ABC,STZ
ABC,SYK
ABC,TDY
ABC,TECH
ABC,TEL
ABC,TGT
ABC,TJX
ABC,TMO
ABC,TMUS
ABC,TRV
ABC,TT
ABC,TXN
ABC,UNH
ABC,UNP
ABC,UPS
ABC,V
ABC,VMC
ABC,VRSK
ABC,VRSN
ABC,VRTX
ABC,WAB
ABC,WAT
ABC,WEC
ABC,WM
ABC,WMT
ABC,WRB
ABC,WST
ABC,WTW
ABC,XEL
ABC,XYL
ABC,YUM
ABC,ZTS
ABT,ACGL
ABT,ACN
ABT,ADI
ABT,ADM
ABT,ADP
ABT,AEE
ABT,AEP
ABT,AFL
ABT,AJG
ABT,ALL
ABT,AMCR
ABT,AME
ABT,AMGN
ABT,AON
ABT,AOS
ABT,APD
ABT,APH
ABT,ATO
ABT,ATVI
ABT,AVY
ABT,AWK
ABT,AZO
ABT,BDX
ABT,BF-B
ABT,BIO
ABT,BLK
ABT,BMY
ABT,BR
ABT,BRK-B
ABT,BRO
ABT,BSX
ABT,CAG
ABT,CAH
ABT,CAT
ABT,CB
ABT,CBOE
ABT,CCI
ABT,CDW
ABT,CHD
ABT,CHRW
ABT,CI
ABT,CL
ABT,CLX
ABT,CMI
ABT,CMS
ABT,CNC
ABT,CNP
ABT,COO
ABT,COST
ABT,CPB
ABT,CPRT
ABT,CPT
ABT,CSCO
ABT,CSGP
ABT,CSX
ABT,CTAS
ABT,CVS
ABT,DD
ABT,DG
ABT,DGX
ABT,DHR
ABT,DOV
ABT,DPZ
ABT,DTE
ABT,DUK
ABT,EA
ABT,EBAY
ABT,ED
ABT,EFX
ABT,EL
ABT,EMN
ABT,EMR
ABT,EQIX
